0,1,2,3,4,5
4698251,0.0006354849451575913,5,2020-08-12,True,True
4698250,0.001315569399103963,5,2020-08-12,True,True
4698256,4.278895852993015,5,2020-08-12,True,True
4698253,0.0015246555004232503,4,2020-08-12,True,True
4698255,0.11894091477525547,5,2020-08-13,False,True
4698247,0.5697765599962101,5,2020-08-13,False,True
4698249,0.0,5,2020-08-13,False,True
4698252,0.0,3,2020-08-13,False,True
4698248,0.21273737124631856,5,2020-08-13,False,True
4698262,0.4658426273166274,5,2020-08-15,False,True
4698264,0.42079126445475534,5,2020-08-15,False,True
4698259,0.0,5,2020-08-16,True,True
4698261,0.0,5,2020-08-16,True,True
4698263,0.1360823640000789,5,2020-08-16,True,True
4698258,0.38969603064513647,5,2020-08-16,True,True
4698257,0.12856991033563991,5,2020-08-16,True,True
4698266,0.0,2,2020-08-16,True,True
4698265,0.5200742654207566,5,2020-08-16,True,True
4698260,0.0,3,2020-08-16,True,True
4698267,0.0,5,2020-08-19,False,True
4698270,0.09790405579762049,5,2020-08-19,False,True
4698274,0.4911102708823231,5,2020-08-19,False,True
4698276,0.11582331861866299,5,2020-08-19,False,True
4698272,0.13184417985988428,5,2020-08-19,False,True
4698268,0.00018183938713443035,5,2020-08-20,False,True
4698271,0.010532980667486211,5,2020-08-20,False,True
4698273,0.8098714816176754,5,2020-08-20,False,True
4698275,0.00029414841825393137,5,2020-08-20,False,True
4698269,0.1919061693275292,5,2020-08-20,False,True
4698284,0.8946982567757776,5,2020-08-22,False,True
4698282,0.0,5,2020-08-22,False,True
4698286,0.0,5,2020-08-23,True,True
4698277,0.07798575570375361,5,2020-08-23,True,True
4698279,0.06515050600504411,5,2020-08-23,True,True
4698280,0.17139243992761743,5,2020-08-23,True,True
4698278,0.6396926378878468,5,2020-08-23,True,True
4698283,0.0,5,2020-08-23,True,True
4698285,0.0,5,2020-08-23,True,True
4698288,0.0,5,2020-08-29,False,True
4698293,0.4151898867448451,5,2020-08-29,False,True
4698287,0.9490377633078919,5,2020-08-29,False,True
4698295,0.17252440329310717,3,2020-08-30,False,True
4698289,0.0,5,2020-08-30,False,True
4698294,0.0,2,2020-08-30,False,True
4698290,0.0,5,2020-08-30,False,True
4698296,0.0,4,2020-08-30,False,True
4698305,0.0,5,2020-09-02,False,True
4698297,0.45088009241245924,5,2020-09-02,False,True
4698306,0.2934070951152453,4,2020-09-02,False,True
4698304,0.0,4,2020-09-02,False,True
4698303,0.3056400932976914,5,2020-09-02,False,True
4698298,0.0,5,2020-09-02,False,True
4698299,0.9863878333950253,5,2020-09-03,False,True
4698300,0.008871731109674739,5,2020-09-03,False,True
4698302,0.012482750622886233,5,2020-09-03,False,True
4698301,0.0,5,2020-09-03,False,True
4698307,0.35056036529999474,5,2020-09-05,False,True
4698311,0.7690540429218454,5,2020-09-05,False,True
4698315,0.0,5,2020-09-06,True,True
4698310,0.07481457186726531,5,2020-09-06,True,True
4698312,0.23213047626511588,5,2020-09-06,True,True
4698309,0.10067728628929701,5,2020-09-06,True,True
4698308,0.0,5,2020-09-06,True,True
4698316,0.07747526491510584,5,2020-09-06,True,True
4698314,0.3624280691936887,5,2020-09-06,True,True
4698313,0.06688293546498064,5,2020-09-06,True,True
4698324,0.1881489978011017,5,2020-09-09,False,True
4698325,0.0,4,2020-09-09,False,True
4698326,0.4661743470493692,4,2020-09-09,False,True
4698319,0.42001758152343327,5,2020-09-09,False,True
